timestamp,request_count,free_heap,uptime_sec,rssi,cpu_temp,cpu_total,cpu_core0,cpu_core1
2026-07-24T03:16:00.037,1,212580,505,-36,46.1,1.3,2.5,0.1
2026-07-24T03:16:01.182,1,212568,506,-37,46.7,2.8,3.5,2.0
2026-07-24T03:16:02.550,1,212568,507,-39,46.7,2.9,3.8,2.0
2026-07-24T03:16:03.764,1,212560,508,-36,46.1,3.0,4.0,2.0
2026-07-24T03:16:05.099,1,212568,510,-39,47.8,1.1,2.2,0.0
2026-07-24T03:16:06.325,1,212572,511,-38,46.1,2.9,3.9,2.0
2026-07-24T03:16:07.557,1,212580,512,-35,47.8,3.1,4.1,2.0
2026-07-24T03:16:08.782,1,212580,513,-38,46.7,3.1,4.1,2.1
2026-07-24T03:16:10.009,1,212568,515,-36,46.1,1.2,2.3,0.0
2026-07-24T03:16:11.220,1,212564,516,-35,46.1,3.1,4.2,1.9
2026-07-24T03:16:12.338,1,212580,517,-37,46.1,2.9,3.8,2.1
2026-07-24T03:16:13.491,1,212384,518,-38,46.1,2.9,3.7,2.1
2026-07-24T03:16:14.585,1,212580,519,-39,46.1,3.1,4.1,2.0
2026-07-24T03:16:15.744,1,212580,520,-38,46.7,3.0,4.1,2.0
2026-07-24T03:16:17.083,1,212568,522,-38,46.1,1.4,2.7,0.0
2026-07-24T03:16:18.280,1,210828,523,-38,46.1,3.1,3.5,2.7
2026-07-24T03:16:20.666,1,212564,524,-39,47.2,2.8,3.6,2.0
2026-07-24T03:16:21.861,1,212572,526,-40,46.1,2.3,3.9,0.7
2026-07-24T03:16:22.992,1,212560,528,-39,46.1,1.3,2.3,0.3
2026-07-24T03:16:24.143,1,212560,529,-38,46.1,2.9,3.8,2.0
2026-07-24T03:16:25.375,1,212572,530,-37,46.7,3.0,4.0,2.0
2026-07-24T03:16:26.605,1,212564,531,-38,46.7,2.9,4.0,1.9
2026-07-24T03:16:27.827,1,212556,532,-39,46.1,2.9,3.7,2.1
2026-07-24T03:16:28.933,1,212560,534,-40,46.1,2.4,3.8,1.1
2026-07-24T03:16:30.185,1,212552,535,-39,46.1,2.1,3.3,0.8
2026-07-24T03:16:31.414,1,212560,536,-38,46.7,2.9,3.8,2.0
2026-07-24T03:16:32.642,1,212564,537,-38,46.1,3.0,4.0,2.0
2026-07-24T03:16:33.871,1,212556,538,-36,46.1,3.1,4.1,2.0
2026-07-24T03:16:35.098,1,212564,540,-37,46.1,1.7,2.6,0.9
2026-07-24T03:16:36.233,1,212564,541,-38,46.1,3.0,3.9,2.0
2026-07-24T03:16:37.423,1,212568,542,-38,46.1,3.4,4.7,2.1
2026-07-24T03:16:38.564,1,212564,543,-36,46.7,2.8,3.7,2.0
2026-07-24T03:16:39.706,1,212572,544,-37,46.1,2.9,3.8,2.0
2026-07-24T03:16:40.815,1,212572,545,-39,46.7,2.8,3.7,1.9
2026-07-24T03:16:43.150,1,212568,547,-37,46.1,2.7,3.6,1.8
2026-07-24T03:16:44.316,1,212540,549,-39,46.1,2.1,3.3,0.8
2026-07-24T03:16:45.648,1,212536,550,-40,46.1,3.1,4.1,2.0
2026-07-24T03:16:46.851,1,211936,551,-36,46.1,3.0,4.2,1.9
2026-07-24T03:16:48.002,1,212568,553,-37,46.7,1.5,2.4,0.6
2026-07-24T03:16:49.136,1,212572,554,-39,46.1,3.0,4.1,2.0
2026-07-24T03:16:50.479,1,212572,555,-38,46.1,3.0,4.1,2.0
2026-07-24T03:16:51.790,1,212572,556,-37,47.2,2.9,3.9,1.9
2026-07-24T03:16:53.020,1,212572,557,-38,46.7,2.9,3.8,2.0
2026-07-24T03:16:54.249,1,212576,559,-41,46.1,2.1,3.3,0.8
2026-07-24T03:16:55.478,1,212572,560,-37,46.7,3.0,3.9,2.0
2026-07-24T03:16:56.671,1,212556,561,-37,47.8,3.0,4.0,1.9
2026-07-24T03:16:57.832,1,212572,562,-38,46.7,2.7,3.5,2.0
